中,英文,日文,域,域-latin,界,界-latin,門,門-latin,亞門,亞門-latin,綱,綱-latin,亞綱,亞綱-latin,目,目-latin,科,科-latin,亞科,亞科-latin,屬,屬-latin,種,種-latin
小豆蔻,green cardamom,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,薑目,Zingiberales,薑科,Zingiberaceae,,,小豆蔻屬,Elettaria,小豆蔻,Elettaria cardamomum
沙薑/山柰,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,薑目,Zingiberales,薑科,Zingiberaceae,,,山柰屬,Kaempferia,山柰,Kaempferia galanga
薑,ginger,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,百合綱,Liliopsida,,,薑目,Zingiberales,薑科,Zingiberaceae,,,薑屬,Zingiber,薑,Zingiber officinale
當歸,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,傘形目,Apiales,傘形科,Apiaceae,芹亞科,Apioideae,當歸屬,Angelica,當歸,Angelica sinensis
芹菜,celery,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,傘形目,Apiales,傘形科,Apiaceae,芹亞科,Apioideae,芹屬,Apium,旱芹,Apium graveolens
香菜/芫荽,coriander,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,傘形目,Apiales,傘形科,Apiaceae,芹亞科,Apioideae,芫荽屬,Coriandrum,芫荽,Coriandrum sativum
孜然,cumin,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,傘形目,Apiales,傘形科,Apiaceae,芹亞科,Apioideae,孜然芹屬,Cuminum,孜然,Cuminum cyminum
胡蘿蔔,carrot,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,傘形目,Apiales,傘形科,Apiaceae,芹亞科,Apioideae,胡蘿蔔屬,Daucus,胡蘿蔔,Daucus carota
茴香/小茴香,fennel,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,傘形目,Apiales,傘形科,Apiaceae,芹亞科,Apioideae,茴香屬,Foeniculum,茴香,Foeniculum vulgare
歐芹/荷蘭芹,parsley,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,傘形目,Apiales,傘形科,Apiaceae,芹亞科,Apioideae,香芹屬,Petroselinum,香芹,Petroselinum crispum
茴芹/大茴香,anise,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,傘形目,Apiales,傘形科,Apiaceae,芹亞科,Apioideae,茴芹屬,Pimpinella,茴芹,Pimpinella anisum
遼東楤木（刺老芽/刺嫩芽）,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,傘形目,Apiales,五加科,Araliaceae,,,楤木屬,Aralia,遼東楤木,Aralia elata
刺五加,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,傘形目,Apiales,五加科,Araliaceae,,,五加屬,Eleutherococcus,刺五加,Eleutherococcus senticosus
三七/田七,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,傘形目,Apiales,五加科,Araliaceae,,,人蔘屬,Panax,三七,Panax notoginseng
花旗蔘/西洋蔘,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,傘形目,Apiales,五加科,Araliaceae,,,人蔘屬,Panax,花旗蔘,Panax quinquefolius
苦丁茶/扣樹,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,冬青目,Aquifoliales,冬青科,Aquifoliaceae,,,冬青屬,Ilex,苦丁茶,Ilex kaushue
杭白菊,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,菊科,Asteraceae,紫苑亞科,Asteroideae,菊屬,Chrysanthemum,杭白菊,Chrysanthemum morifolium
茼蒿/蓬蒿/蒿子桿,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,菊科,Asteraceae,紫苑亞科,Asteroideae,茼蒿屬,Glebionis,茼蒿,Glebionis coronaria
南茼蒿/鵝菜,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,菊科,Asteraceae,紫苑亞科,Asteroideae,茼蒿屬,Glebionis,南茼蒿,Glebionis segetum
向日葵,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,菊科,Asteraceae,紫苑亞科,Asteroideae,向日葵屬,Helianthus,向日葵,Helianthus annuus
菊芋/洋薑/鬼子薑,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,菊科,Asteraceae,紫苑亞科,Asteroideae,向日葵屬,Helianthus,洋薑,Helianthus tuberosus
馬蘭,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,菊科,Asteraceae,紫苑亞科,Asteroideae,馬蘭屬,Kalimeris,馬蘭,Kalimeris indica
雪蓮果/菊薯,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,菊科,Asteraceae,紫苑亞科,Asteroideae,菊薯屬,Smallanthus,菊薯,Smallanthus sonchifolius
牛蒡,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,菊科,Asteraceae,飛廉亞科,Carduoideae,牛蒡屬,Arctium,牛蒡,Arctium lappa
菜薊/洋薊/朝鮮薊,artichoke,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,菊科,Asteraceae,飛廉亞科,Carduoideae,菜薊屬,Cynara,菜薊,Cynara cardunculus
苦菊/苦苣,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,菊科,Asteraceae,菊苣亞科,Cichorioideae,菊苣屬,Cichorium,苦苣,Cichorium endivia
生菜,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,菊科,Asteraceae,菊苣亞科,Cichorioideae,萵苣屬,Lactuca,萵苣,Lactuca sativa
萵筍,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,菊科,Asteraceae,菊苣亞科,Cichorioideae,萵苣屬,Lactuca,萵苣,Lactuca sativa
油麥菜,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,菊科,Asteraceae,菊苣亞科,Cichorioideae,萵苣屬,Lactuca,萵苣,Lactuca sativa
貢菜,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,菊科,Asteraceae,菊苣亞科,Cichorioideae,萵苣屬,Lactuca,萵苣,Lactuca sativa
蒲公英,dandelion,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,菊科,Asteraceae,菊苣亞科,Cichorioideae,蒲公英屬,Taraxacum,,
黨蔘,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,桔梗科,Campanulaceae,,,黨蔘屬,Codonopsis,黨蔘,Codonopsis pilosula
桔梗,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,菊目,Asterales,桔梗科,Campanulaceae,,,桔梗屬,Platycodon ,桔梗,Platycodon grandiflorus
破布子/甘樹子,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,紫草目,Boraginales,破布木科,Cordiaceae,,,破布木屬,Cordia,破布木,Cordia dichotoma
金銀花/忍冬,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,川續斷目,Dipsacales,忍冬科,Caprifoliaceae,,,忍冬屬,Lonicera,忍冬,Lonicera japonica
獼猴桃,kiwi fruit,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,杜鵑花目,Ericales,獼猴桃科,Actinidiaceae,,,獼猴桃屬,Actinidia,,
枾,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,杜鵑花目,Ericales,枾樹科,Ebenaceae,,,枾樹屬,Diospyros,林枾,Diospyros kaki
蔓越莓,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,杜鵑花目,Ericales,杜鵑花科,Ericaceae,越橘亞科,Vaccinioideae,越橘屬,Vaccinium,,
藍莓,blueberry,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,杜鵑花目,Ericales,杜鵑花科,Ericaceae,越橘亞科,Vaccinioideae,越橘屬,Vaccinium,,
雞蛋果/蛋黃果,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,杜鵑花目,Ericales,山欖科,Sapotaceae,金葉樹亞科,Chrysophylloideae,桃欖屬,Pouteria,具脈果欖,Pouteria campechiana
茶,tea,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,杜鵑花目,Ericales,山茶科,Theaceae,,,山茶屬,Camellia,,
咖啡,coffee,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,龍膽目,Gentianales,茜草科,Rubiaceae,龍船花亞科,Ixoroideae,咖啡屬,Coffea,咖啡,Coffea arabica
甘露子/寶塔菜,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,脣形科,Lamiaceae,野芝麻亞科,Lamioideae,水蘇屬,Stachys,甘露子,Stachys affinis
薰衣草,lavender,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,薰衣草屬,Lavendula,,
地蔘/地筍,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,地筍屬,Lycopus,地筍,Lycopus lucidus
薄荷,mint,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,薄荷屬,Mentha,,
羅勒/九層塔/金不換,basil,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,羅勒屬,Ocimum,羅勒,Ocimum basilicum
牛至,oregano,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,牛至屬,Origanum,牛至,Origanum vulgare
紫蘇,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,紫蘇屬,Perilla,紫蘇,Perilla frutescens
仙草,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,仙草屬,Platostoma,仙草,Platostoma palustre
夏枯草,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,夏枯草屬,Prunella,夏枯草,Prunella vulgaris
芡歐鼠尾草（奇亞籽）,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,鼠尾草屬,Salvia,芡歐鼠尾草,Salvia hispanica
迷迭香,rosemary,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,鼠尾草屬,Salvia,迷迭香,Salvia rosmarinus
麝香草/百里香,thyme,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,脣形科,Lamiaceae,荊芥亞科,Nepetoideae,百里香屬,Thymus,,
茉莉,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,木樨科,Oleaceae,,,素馨屬,Jasminum,,
油橄欖,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,木樨科,Oleaceae,,,木樨欖屬,Olea,油橄欖,Olea europaea
桂花,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,木樨科,Oleaceae,,,木樨屬,Osmanthus,桂花,Osmanthus fragrans
芝麻,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,胡麻科,Pedaliaceae,,,胡麻屬,Sesamum,芝麻,Sesamum indicum
馬鞭草,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,脣形目,Lamiales,馬鞭草科,Verbenaceae,,,馬鞭草屬,Verbena,馬鞭草,Verbena officinalis
空心菜/蕹菜,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,茄目,Solanales,旋花科,Convolvulaceae,,,番薯屬,Ipomoea,蕹菜,Ipomoea aquatica
紫薯、白薯/紅薯/地瓜,sweet patato,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,茄目,Solanales,旋花科,Convolvulaceae,,,番薯屬,Ipomoea,甘薯,Ipomoea batatas
辣椒,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,辣椒屬,Capsicum,辣椒,Capsicum annum
青椒,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,辣椒屬,Capsicum,辣椒,Capsicum annum
枸杞,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,枸杞屬,Lycium,枸杞,Lycium chinense
黑枸杞,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,枸杞屬,Lycium,黑果枸杞,Lycium ruthenicum
假酸漿（冰粉）,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,假酸漿屬,Nicandra,假酸漿,Nicandra physaloides
菇娘/燈籠果/酸漿,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,酸漿屬,Physalis,燈籠果,Physalis alkekengi
西紅枾/番茄,tomato,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,茄屬,Solanum,番茄,Solanum lycopersicum
茄子,eggplant,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,茄屬,Solanum,茄子,Solanum melongena
人蔘果/香瓜茄,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,茄屬,Solanum,香瓜茄,Solanum muricatum
土豆/馬鈴薯,patato,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,菊亞綱,asterids,茄目,Solanales,茄科,Solanaceae,茄亞科,Solanoideae,茄屬,Solanum,馬鈴薯,Solanum tuberosum
肉桂,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,木蘭亞綱,magnoliids,樟目,Laurales,樟科,Lauraceae,,,樟屬,Cinnamomum,肉桂,Cinnamomum aromaticum
月桂（香葉）,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,木蘭亞綱,magnoliids,樟目,Laurales,樟科,Lauraceae,,,月桂屬,Laurus,月桂,Laurus nobilis
木薑子/山胡椒/山蒼,,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,木蘭亞綱,magnoliids,樟目,Laurales,樟科,Lauraceae,,,木薑子屬,Litsea,木薑子,Litsea cubeba
鱷梨/牛油果,avocado,,眞核域,Eukaryota,綠色植物界,Viridiplantae,鏈形植物門,Streptophyta,被子植物,Magnoliophyta,,,木蘭亞綱,magnoliids,樟目,Laurales,樟科,Lauraceae,,,鱷梨屬,Persea,鱷梨,Persea americana
